2,"11.11.11 promoot campagne en bakt pannenkoeken",Main
3,"De voorbije week liep je wellicht ook in Vilvoorde de vrijwilligers van 11.11.11 tegen het lijf",None
4,"de campagne ' Allemaal mensen , onderweg naar beter ' , die aandacht vraagt voor een open en solidair migratiebeleid",Background
5,"Zondag bakten zij naar aloude traditie pannenkoeken tijdens het pannenkoekencafe",Main
6,"We hadden opnieuw een uitstekende 11.11.11-actie dit weekend , met heel veel overwegend positieve en warme reacties van de Vilvoordenaars die we hebben ontmoet aan het station , CC Bolwerk en tijdens onze deur-aan-deur-acties , zegt Jacques Mevis van 11.11.11 Vilvoorde",Background
7,"We hebben nog geen zicht op de definitieve resultaten , maar wellicht halen we opnieuw min of meer het resultaat van vorig jaar",None
9,"wordt de waarschuwingsfase van het hitte- en ozonplan in de accordeongemeente geactiveerd",Main
10,"Vanaf heden zijn maatregelen nodig om senioren , zuigelingen en jonge kinderen te beschermen tegen de hitte en luchtvervuiling , stelt schepen Els Kindt ( CD & V )",None
11,"Al meer dan 300 Leuvenaars ' switchten ' naar groene stroom",Main
12,"Zoveel mogelijk Leuvenaars laten overstappen op groene stroom , dat is een van de ambities van vzw Leuven 2030",None
13,"Anderhalve maand na de lancering van de campagne ' Leuven Switcht ' zijn er al meer dan 300 Leuvenaars overgestapt naar een groener contract",Main
14,"Anderhalve maand na lancering bereiken ze hun eerste mijlpaal",Background
16,"treinramp Buizingen",Main
17,"e rechtszaak rond de treinramp in Buizingen , die op 15 februari 2010 het leven kostte aan negentien mensen en ook 162 gewonden maakte , wordt op 5 juni ingeleid voor de politierechtbank van Halle",Main
18,"de treinramp in Buizingen , die op 15 februari 2010 het leven kostte aan negentien mensen",Background
19,"162 gewonden maakte",Background
20,"Dat zal uitzonderlijk niet gebeuren op de politierechtbank zelf maar wel in cultuurcentrum 't Vondel omdat er veel volk wordt verwacht",Main
21,"SP.A Leeuw vult lijst aan met onafhankelijke kandidaten",Main
23,"Opvallend zijn kandidaten die als onafhankelijke de lijst mee aanvullen",None
24,"Chateau de la Motte ontvangt 60 jonge Russische diplomaten",Main
25,"De MFA Universiteit in Moskou is een staatsinstituut voor opleiding voor jonge diplomaten voor Internationale Betrekkingen",None
26,"Het is een Russische academische instelling geleid door het Russisch Ministerie van Buitenlandse Zaken",None
27,"Het instituut wordt beschouwd als een elite-instituut waar heel wat Russische en buitenlandse politieke en economische bewindslieden afstudeerden",None
28,"Veel stormschade in Zelzate",Main
30,"De brandweer kreeg veel oproepen",None
31,"Zowel brandweerposten Zelzate als Assenede waren actief in onze gemeente",None
32,"Post Zelzate ging ook ruimen in Wachtebeke en Moerbeke",None
33,"Stedenbouwkundige verordening over het versterken van de woonkwaliteit goedgekeurd",Main
34,"De gemeenteraad heeft op maandag 22 januari de stedenbouwkundige verordening over het versterken van de woonkwaliteit definitief vastgesteld",Main
35,"Samen met het advies van de gemeentelijke commissie voor ruimtelijke ordening GECORO en het advies van het Departement Omgeving wordt de verordening nu naar de deputatie van de provincie Antwerpen gestuurd",Background
37,"de wateroverlast van vorig jaar",Background
38,"drong het Laakdals gemeentebestuur bij de Vlaamse Milieumaatschappij ( VMM ) en de provincie Antwerpen aan op een beter beheer van de waterlopen",Main
39,"Het charter met afspraken tussen de provincie en de lokale landbouwers werd onlangs ondertekend door de gemeentelijke landbouwraad",None
40,"Groen : structurele aanpak kansarmoede",None
41,"Eerder deze week publiceerde Kind en Gezin een rapport over de kansarmoede-index voor 2017",Background
42,"dat rapport",Background
44,"blijft de kinderarmoede in Beringen hoger dan het Limburgs gemiddelde",Background
45,"ligt de kinderarmoede ook nog steeds 3,05 procentpunten hoger dan aan het begin van deze legislatuur ( 11,42 % )",Main
46,"Daarom vraagt Groen een structurele aanpak van de kansarmoede",None
47,"Toekomstige fusie Deinze en Nevele",Main
48,"verlaging gemeentelijke belastingen",Main
49,"In Nevele verdwijnt bijkomend de algemene gemeentebelasting",Main
51,"zal de fusiegemeente de naam Deinze dragen , met ' Land van Nevele ' als baseline",Background
52,"Hoewel dat laatste nog zou kunnen veranderen",None
53,"De bewoners worden verwend met een belastingsverlaging",Main
54,"de fusie",Main
55,"de belastingen in elke gemeente gelijk te schakelen naar het laagste niveau",Main
56,"referendum Catalonië",Background
58,"De N-VA toonde aan het Sint-Nicolaasbeeld voor het stadhuis in Sint-Niklaas zijn steun aan het referendum dat in Catalonië op komst is",Main
59,"het referendum dat in Catalonië op komst is",Background
60,"dergelijk onafhankelijkheidsreferendum",Background
61,"Vechtersbaas uit Zaventem riskeert een jaar cel",Main
62,"Ik werd steeds geprovoceerd , zei de 31-jarige M.C. in de correctionele rechtbank in Brussel",None
63,"De man uit Zaventem riskeert een jaar cel voor opzettelijke en onopzettelijke slagen en verwondingen",Main
65,"opzettelijke en onopzettelijke slagen en verwondingen",Background
66,"De feiten",Background
67,"De feiten",Background
68,"twee verschillende caféruzies op 20 augustus 2015 en 24 juni 2016 .",Background
69,"Israël viert , Palestijnen rouwen : Mark De Quidt over de Palestijnse zaak",None
70,"Guido Joris reageert namens Joods Actueel",None
72,"de verhuis van de Amerikaanse ambassade van Tel Aviv naar Jerusalem",Main
73,"Bij de Palestijnen in de Gaza-strook was er echter geen reden tot feesten",None
74,"Maandag 14 mei greep het Israëlische leger hardhandig in bij Palestijnse protesten tegen de verhuis van de Amerikaanse ambassade",Main
75,"Palestijnse protesten tegen de verhuis van de Amerikaanse ambassade",Main
76,"de verhuis van de Amerikaanse ambassade",Main
77,"Er vielen meer dan 60 doden",Background
79,"Één van de jongens die gedood werd tijdens de protesten",Background
80,"Één van de jongens die gedood werd tijdens de protesten",Background
81,"de protesten",Background
82,"een Palestijn die in Antwerpen gedagvaard wordt voor de solidariteitsmanifestatie in 2014 ( bombardementen Protective Edge op Gaza )",Background
83,"de solidariteitsmanifestatie in 2014 ( bombardementen Protective Edge op Gaza )",Background
84,"bombardementen Protective Edge op Gaza",Background
86,"Ex-bankdirecteur verdacht van verduistering",Background
87,"Het Openbaar Ministerie heeft vijftien maanden met uitstel gevorderd tegen de 70-jarige Joseph V.B. , een gewezen filiaalhouder van de Kredietbank in Wuustwezel",Main
88,"Hij wordt verdacht honderdduizenden euro's te hebben verduisterd bij klanten",Background
89,"Burgemeester Moeskroen vermoord teruggevonden op kerkhof",Main
90,"Dader geeft zich aan bij politie",Background
91,"De burgemeester van Moeskroen , Alfred Gadenne ( 71 ) , is gisteravond vermoord teruggevonden op het kerkhof vlak bij zijn huis .",Main
93,"Gadenne woonde tegenover het kerkhof van Luingne , en elke avond ging hij zelf de toegangspoort op slot doen",None
94,"Over wat er gisteravond gebeurde , bestaat nog de grootste onduidelijkheid",None
95,"Verder onderzoek moet uitwijzen of de dader de burgemeester bewust opwachtte , wetende dat hij de poort zou komen sluiten , of per toeval op de burgemeester stootte .",Background
96,"De dader werd gisteravond omschreven als onevenwichtig",None
97,"VN-Veiligheidsraad keurt nieuwe sancties tegen Noord-Korea goed",Main
98,"De Veiligheidsraad van de Verenigde Naties heeft maandag unaniem beslist om nieuwe sancties op te leggen aan Noord-Korea",Main
100,"De Verenigde Staten hadden opgeroepen tot een stemming in de vijftienkoppige vergadering",Background
101,"Belgische politici in opspraak door geld uit Azerbeidzjan",Main
102,"geld uit Azerbeidzjan",Main
103,"Een Belgische vzw , opgericht door twee politici , wordt al zeven jaar lang gebruikt om verkiezingen van autoritair regime in Azerbeidzjan te legitimeren , schrijft De Tijd dinsdag",Main
104,"Een Belgische vzw , opgericht door twee politici , wordt al zeven jaar lang gebruikt om verkiezingen van autoritair regime in Azerbeidzjan te legitimeren",Main
105,"Izegems slachthuis kwam eerder al in vizier inspectiediensten",Main
107,"Vlaams minister van Dierenwelzijn Ben Weyts ( N-VA ) heeft het slachthuis inmiddels gesloten",Background
108,"Europa mag weer dromen",None
109,"Straatsburg",None
110,"De hemel boven Europa is opgeklaard",None
111,"Commissievoorzitter Jean-Claude Juncker greep gisteren naar maritieme en meteorologische beeldspraak om een ambitieus programma voor de versterking , verdieping en uitbreiding van de Europese Unie aan te kondigen",Main
112,"de versterking , verdieping en uitbreiding van de Europese Unie",Background
114,"President Trump lijkt nu met Democraten ook een deal te gaan sluiten over immigranten",Main
115,"De Amerikaanse president Donald Trump en de Democraten in het Congres hebben een akkoord bereikt om de 800.000 jonge ' Dreamers ' toch nog te beschermen voor uitwijzing",Main
116,"de 800.000 jonge ' Dreamers ' toch nog te beschermen voor uitwijzing",Main
117,"de president het DACA-programma van zijn voorganger Barack Obama heeft geschrapt",Background
118,"Dat zeggen de Democratische leiders in Huis en Senaat , Nancy Pelosi en Chuck Schumer",None
119,"Theo Francken haalt zich de woede van internet op de hals",None
121,"Staatssecretaris Theo Francken voor Asiel en Migratie heeft voor heel wat ophef gezorgd met een bericht over vluchtelingen in het Brusselse Maximiliaanpark op Facebook",Main
122,"Het was niet zozeer de inhoud waar mensen over vielen , als wel de hashtag die de N-VA'er gebruikte : # opkuisen",None
123,"Ranzige taal , degoutant en intriest , klinkt het onder meer op internet",None
124,"Op bezoek bij de sans-papiers in Hotel Astrid",Main
125,"In de voormalige lobby van een Brussels driesterrenhotel slapen nu mensen op matrassen op de grond",Main
126,"Ze willen maar één ding : papieren",None
128,"Dat is toch hoe jullie dat hier in Vlaanderen zeggen ? '",None
129,"Oppositie gaat in de fout met stadslogo",Main
130,"Tobback maakt er zich niet druk om",Main
131,"Na CD & V en PVDA , heeft nu ook Open VLD een enquête gelanceerd waarmee ze peilen naar de wensen van de Leuvenaars om hun kiesprogramma vorm te geven",Background
132,"Daarbij gebruiken ze het officiële logo van het stadsbestuur",Main
133,"Amerikaanse regering in de ban van mysterie : Wie of wat valt onze diplomaten op Cuba aan ?",None
135,"Minstens 21 diplomaten en ambtenaren slachtoffer van aanval met sonisch wapen",Main
136,"De Amerikaanse regering staat voor een groot mysterie",None
137,"De voorbije maanden werden minstens 21 Amerikaanse diplomaten en ambtenaren op Cuba het slachtoffer van een aanval met een sonisch wapen",Main
138,"Wie er achter de aanvallen zit , welk wapen precies gebruikt wordt , het motief achter de aanvallen ...",None
139,"Op dit moment is bijna niets bekend",None
140,"Maar de aanvallen , die gaan wel door",None
142,"mogelijke ontvoeringspoging meisjes",Main
143,"Het parket Halle-Vilvoorde is een onderzoek gestart naar een mogelijke poging tot ontvoering van twee meisjes",Main
144,"een mogelijke poging tot ontvoering van twee meisjes",Main
145,"Hun moeder trekt alvast aan de alarmbel",None
146,"Noord-Korea vuurt opnieuw raket af",Main
147,"Japan roept burgers op om te schuilen",Main
149,"De Japanse regering heeft laten weten dat er vermoedelijk een raket over haar grondgebied is gevlogen",Main
150,"Ze vraagt haar inwoners om te schuilen en uit de buurt te blijven van eventuele brokstukken",Main
151,"' HR-managers niet klaar voor technologische evolutie '",None
152,"Het aantal Belgische aanbieders van technologie voor de HR-sector explodeert",Main
153,"Er zitten tal van pareltjes tussen die de manier van werven en selecteren grondig zullen veranderen",Background
154,"beseffen HR-diensten nauwelijks wat er beweegt of hoe met deze HR-technologie om kunnen gaan",Background
156,"Man slaat echtgenote murw met afgebroken houten leuning",Background
157,"Man slaat echtgenote murw met afgebroken houten leuning",Background
158,"Een 69-jarige man uit Kortenberg werd voor de Leuvense strafrechtbank veroordeeld tot één jaar cel voor een poging doodslag op zijn vrouw",Main
159,"Een 69-jarige man uit Kortenberg werd voor de Leuvense strafrechtbank veroordeeld tot één jaar cel voor een poging doodslag op zijn vrouw",Main
160,"poging doodslag op zijn vrouw",Background
